SessionID, Contingency, Reversed, Correct, Win
1351808319039,1,0,0,0
1351808319039,1,0,1,1
1351808319039,1,0,1,1
1351808319039,1,0,1,1
1351808319039,1,0,1,1
1351808319039,1,0,1,1
1351808319039,1,0,1,1
1351808319039,1,0,1,1
1351808319039,1,0,1,1
1351808319039,1,0,1,1
1351808319039,1,1,0,0
1351808319039,1,1,1,1
1351808319039,1,1,1,1
1351808319039,1,1,1,1
1351808319039,1,1,1,1
1351808319039,1,1,1,1
1351808319039,1,1,1,1
1351808319039,1,1,1,1
1351808319039,1,1,1,1
1351808319039,1,1,1,1
1351808319040,0.8,0,1,1
1351808319040,0.8,0,1,1
1351808319040,0.8,0,1,1
1351808319040,0.8,0,1,1
1351808319040,0.8,0,1,1
1351808319040,0.8,0,1,1
1351808319040,0.8,0,1,1
1351808319040,0.8,0,1,1
1351808319040,0.8,0,1,1
1351808319040,0.8,0,1,1
1351808319040,0.8,0,1,1
1351808319040,0.8,0,1,1
1351808319040,0.8,0,1,1
1351808319040,0.8,0,1,1
1351808319040,0.8,0,1,1
1351808319040,0.8,0,1,1
1351808319040,0.8,0,1,0
1351808319040,0.8,0,1,0
1351808319040,0.8,0,1,0
1351808319040,0.8,0,1,0
1351808319040,0.8,1,0,0
1351808319040,0.8,1,0,0
1351808319040,0.8,1,0,0
1351808319040,0.8,1,0,0
1351808319040,0.8,1,0,0
1351808319040,0.8,1,0,0
1351808319040,0.8,1,1,1
1351808319040,0.8,1,1,1
1351808319040,0.8,1,1,1
1351808319040,0.8,1,1,1
1351808319040,0.8,1,1,1
1351808319040,0.8,1,1,1
1351808319040,0.8,1,1,1
1351808319040,0.8,1,1,1
1351808319040,0.8,1,1,1
1351808319040,0.8,1,1,1
1351808319040,0.8,1,1,0
1351808319040,0.8,1,1,0
1351808319040,0.8,1,1,0
1351808319040,0.8,1,1,0
1351808319039,0.9,0,0,0
1351808319039,0.9,0,1,1
1351808319039,0.9,0,1,1
1351808319039,0.9,0,1,1
1351808319039,0.9,0,1,1
1351808319039,0.9,0,1,1
1351808319039,0.9,0,1,1
1351808319039,0.9,0,1,1
1351808319039,0.9,0,1,1
1351808319039,0.9,0,1,1
1351808319039,0.9,0,1,1
1351808319039,0.9,0,1,1
1351808319039,0.9,0,1,1
1351808319039,0.9,0,1,1
1351808319039,0.9,0,1,0
1351808319039,0.9,1,0,0
1351808319039,0.9,1,0,0
1351808319039,0.9,1,1,1
1351808319039,0.9,1,1,1
1351808319039,0.9,1,1,1
1351808319039,0.9,1,1,1
1351808319039,0.9,1,0,0
1351808319039,0.9,1,0,0
1351808319039,0.9,1,1,1
1351808319039,0.9,1,1,1
1351808319039,0.9,1,1,1
1351808319039,0.9,1,1,1
1351808319039,0.9,1,1,1
1351808319039,0.9,1,1,1
1351808319039,0.9,1,1,0
1351808319040,0.8,0,0,0
1351808319040,0.8,0,1,1
1351808319040,0.8,0,0,0
1351808319040,0.8,0,1,1
1351808319040,0.8,0,1,1
1351808319040,0.8,0,1,1
1351808319040,0.8,0,1,1
1351808319040,0.8,0,1,1
1351808319040,0.8,0,1,1
1351808319040,0.8,0,1,1
1351808319040,0.8,0,1,1
1351808319040,0.8,0,1,1
1351808319040,0.8,0,1,0
1351808319040,0.8,0,1,0
1351808319040,0.8,0,1,0
1351808319040,0.8,1,0,0
1351808319040,0.8,1,0,0
1351808319040,0.8,1,0,0
1351808319040,0.8,1,1,1
1351808319040,0.8,1,1,1
1351808319040,0.8,1,1,1
1351808319040,0.8,1,1,1
1351808319040,0.8,1,1,1
1351808319040,0.8,1,1,1
1351808319040,0.8,1,1,1
1351808319040,0.8,1,1,1
1351808319040,0.8,1,1,1
1351808319040,0.8,1,1,0
1351808319040,0.8,1,1,0
1351808319040,0.8,1,1,0
1351808319039,0.7,0,0,0
1351808319039,0.7,0,1,1
1351808319039,0.7,0,0,0
1351808319039,0.7,0,0,0
1351808319039,0.7,0,1,1
1351808319039,0.7,0,0,0
1351808319039,0.7,0,1,1
1351808319039,0.7,0,1,0
1351808319039,0.7,0,1,0
1351808319039,0.7,0,1,0
1351808319039,0.7,1,0,0
1351808319039,0.7,1,0,0
1351808319039,0.7,1,0,0
1351808319039,0.7,1,0,0
1351808319039,0.7,1,0,0
1351808319039,0.7,1,0,0
1351808319039,0.7,1,1,1
1351808319039,0.7,1,1,0
1351808319039,0.7,1,1,0
1351808319039,0.7,1,1,0
1351808319040,0.9,0,1,1
1351808319040,0.9,0,1,1
1351808319040,0.9,0,1,1
1351808319040,0.9,0,1,1
1351808319040,0.9,0,1,1
1351808319040,0.9,0,1,1
1351808319040,0.9,0,1,1
1351808319040,0.9,0,1,1
1351808319040,0.9,0,1,1
1351808319040,0.9,0,1,1
1351808319040,0.9,0,1,1
1351808319040,0.9,0,1,1
1351808319040,0.9,0,1,1
1351808319040,0.9,0,1,1
1351808319040,0.9,0,1,1
1351808319040,0.9,0,1,1
1351808319040,0.9,0,1,1
1351808319040,0.9,0,1,1
1351808319040,0.9,0,1,0
1351808319040,0.9,0,1,0
1351808319040,0.9,1,0,0
1351808319040,0.9,1,0,0
1351808319040,0.9,1,0,0
1351808319040,0.9,1,1,1
1351808319040,0.9,1,1,1
1351808319040,0.9,1,1,1
1351808319040,0.9,1,1,1
1351808319040,0.9,1,1,1
1351808319040,0.9,1,1,1
1351808319040,0.9,1,1,1
1351808319040,0.9,1,1,1
1351808319040,0.9,1,1,1
1351808319040,0.9,1,1,1
1351808319040,0.9,1,1,1
1351808319040,0.9,1,1,1
1351808319040,0.9,1,1,1
1351808319040,0.9,1,1,1
1351808319040,0.9,1,1,1
1351808319040,0.9,1,1,0
1351808319040,0.9,1,1,0
1351808319039,0.7,0,0,0
1351808319039,0.7,0,1,1
1351808319039,0.7,0,0,0
1351808319039,0.7,0,1,1
1351808319039,0.7,0,1,1
1351808319039,0.7,0,0,0
1351808319039,0.7,0,0,0
1351808319039,0.7,0,0,0
1351808319039,0.7,0,0,0
1351808319039,0.7,0,0,0
1351808319039,0.7,0,1,1
1351808319039,0.7,0,1,1
1351808319039,0.7,0,1,1
1351808319039,0.7,0,1,1
1351808319039,0.7,0,1,1
1351808319039,0.7,0,1,1
1351808319039,0.7,0,1,0
1351808319039,0.7,0,1,0
1351808319039,0.7,0,1,0
1351808319039,0.7,0,0,1
1351808319039,0.7,0,0,1
1351808319039,0.7,0,0,1
1351808319039,0.7,1,0,0
1351808319039,0.7,1,1,1
1351808319039,0.7,1,0,0
1351808319039,0.7,1,0,0
1351808319039,0.7,1,1,1
1351808319039,0.7,1,1,1
1351808319039,0.7,1,1,1
1351808319039,0.7,1,0,0
1351808319039,0.7,1,0,0
1351808319039,0.7,1,0,0
1351808319039,0.7,1,1,1
1351808319039,0.7,1,1,1
1351808319039,0.7,1,0,0
1351808319039,0.7,1,0,0
1351808319039,0.7,1,0,0
1351808319039,0.7,1,1,1
1351808319039,0.7,1,1,0
1351808319039,0.7,1,0,1
1351808319039,0.7,1,0,1
1351808319039,0.7,1,0,1
1351808319039,0.7,1,0,1
1351808319039,0.7,1,0,1
1351808319040,1,0,0,0
1351808319040,1,0,0,0
1351808319040,1,0,0,0
1351808319040,1,0,0,0
1351808319040,1,0,1,1
1351808319040,1,0,1,1
1351808319040,1,0,1,1
1351808319040,1,0,1,1
1351808319040,1,1,0,0
1351808319040,1,1,0,0
1351808319040,1,1,1,1
1351808319040,1,1,1,1
1351808319040,1,1,1,1
1351808319040,1,1,1,1
1351808319040,1,1,1,1
1351808319040,1,1,1,1
